objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,u-g,g-r,,,my 20 (19),,,,
1237671939804561476,6162,301,3,133,68,3,258.1199461,64.06074828,17.3246,14.93716,14.03668,13.56315,13.3306,0.03335369,0.002602796,0.002119043,0.002051481,0.004056128,2.38744,0.90048,,,,,,,
1237671939804561489,6162,301,3,133,81,3,258.1439303,64.05337769,20.96467,18.9541,17.9613,17.50213,17.1744,0.1031424,0.00988037,0.006510011,0.006223662,0.01356849,2.01057,0.9928,,,,,,,
1237671939804561521,6162,301,3,133,113,3,258.1383428,64.05514121,23.45984,18.87031,24.79969,19.36124,22.01883,5.498808,0.03718853,6.529328,0.1235298,4.758816,4.58953,-5.92938,,,,,,,
1237671939804628537,6162,301,3,134,1593,3,258.2710872,64.04551457,25.50894,23.86787,22.44186,21.35813,20.39598,1.554069,0.7058818,0.3151438,0.1735836,0.2997032,1.64107,1.42601,,,,,,,
1237671939804627822,6162,301,3,134,878,3,258.2850352,64.04532909,22.06679,20.78037,20.46486,20.24337,20.24307,0.3336653,0.04167546,0.04566244,0.05521818,0.2152635,1.28642,0.31551,,,,,,,
1237671939804561652,6162,301,3,133,244,3,258.2581601,64.04153901,24.98638,23.06812,21.20571,20.2928,20.00012,1.107237,0.2184087,0.06061417,0.04005918,0.11878,1.91826,1.86241,,,,,,,
1237671939804562920,6162,301,3,133,1512,3,258.2662511,64.04009349,26.19138,22.78603,21.56638,21.07645,21.74273,0.9663281,0.2954203,0.1450827,0.1386707,0.9216558,3.40535,1.21965,,,,,,,
1237671939804561998,6162,301,3,133,590,3,258.2390098,64.02967686,21.29271,19.37389,18.44535,18.03115,17.74383,0.1661297,0.01445025,0.009687721,0.009499734,0.024586,1.91882,0.92854,,,,,,,
1237671939804562882,6162,301,3,133,1474,3,258.2205765,64.02606606,25.38175,22.83611,21.75309,21.62928,21.07738,1.091565,0.199054,0.1109177,0.1453277,0.3477939,2.54564,1.08302,,,,,,,
1237671939804562600,6162,301,3,133,1192,3,258.2214501,64.03529591,23.51765,21.91707,21.25225,20.901,20.9329,1.116407,0.1131938,0.08967226,0.09577795,0.3853008,1.60058,0.66482,,,,,,,
1237671939804561999,6162,301,3,133,591,3,258.230951,64.03240902,19.72405,18.28127,17.63827,17.26305,17.14701,0.07632108,0.009322798,0.007875269,0.008122045,0.02589248,1.44278,0.643,,,,,,,
1237671939804561997,6162,301,3,133,589,3,258.2308472,64.0292542,20.3571,18.21394,17.31192,16.87028,16.55889,0.09317045,0.007786784,0.005579782,0.005419866,0.01230601,2.14316,0.90202,,,,,,,
1237671939804562001,6162,301,3,133,593,3,258.2246008,64.02814182,24.00024,23.48902,21.79184,21.29606,21.23076,0.8738512,0.2596211,0.082383,0.0754016,0.2717896,0.51122,1.69718,,,,,,,
1237671939804562002,6162,301,3,133,594,3,258.2452911,64.03114676,24.20234,23.13119,22.17909,21.24362,20.57165,1.142984,0.2325402,0.1437559,0.0908397,0.198079,1.07115,0.9521,,,,,,,
1237671939804562866,6162,301,3,133,1458,3,258.1895591,64.03436814,23.78336,22.8835,21.86723,21.712,21.37569,1.039245,0.2082017,0.1242596,0.1556861,0.4387693,0.89986,1.01627,,,,,,,
