objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237657189833834668,2728,301,1,449,172,3,5.379545815,-0.852270669,21.20861,19.03551,18.13832,17.73306,17.49932,0.1387338,0.01208752,0.008371586,0.008244982,0.01993502
1237657189833834950,2728,301,1,449,454,3,5.370766198,-0.850010149,24.99399,24.53728,24.68357,22.06831,22.75977,0.9582287,0.6624207,0.7585978,0.1912645,0.7236975
1237657189833834569,2728,301,1,449,73,3,5.369693047,-0.879023288,21.59703,19.66249,18.52501,17.97158,17.57225,0.2232336,0.02396011,0.01307244,0.01142026,0.02500909
1237657189833834570,2728,301,1,449,74,3,5.368780649,-0.877482585,24.23121,24.40015,22.88545,22.98405,21.65619,0.8302869,0.5190395,0.2196458,0.3376835,0.3758113
1237663783126040748,4263,301,2,152,172,3,5.420362707,-0.813439874,20.75877,19.00373,18.0318,17.61492,17.29999,0.1074188,0.01332548,0.009190096,0.008986217,0.01984802
1237657189833834754,2728,301,1,449,258,3,5.432275757,-0.854362808,19.69642,17.5639,16.53614,16.10281,15.72018,0.0499749,0.005784546,0.004142489,0.004049452,0.007206565
1237657189833834763,2728,301,1,449,267,3,5.43561024,-0.848332332,20.42459,18.32131,17.31763,16.85118,16.50453,0.08630744,0.008843572,0.005919514,0.005628064,0.01177669
1237657189833834756,2728,301,1,449,260,3,5.435591952,-0.852849441,24.89203,23.01755,22.15529,22.04403,22.19899,0.8657005,0.2043572,0.1270764,0.1723332,0.5639792
1237657189833834761,2728,301,1,449,265,3,5.434385965,-0.856503593,24.53729,24.90736,25.24314,22.5736,22.71025,0.8864927,0.702997,0.6539093,0.2503775,0.6587813
1237663783126040888,4263,301,2,152,312,3,5.438349474,-0.839832932,21.30847,19.579,18.66253,18.23487,17.87945,0.1724306,0.02061247,0.01426224,0.01407537,0.03213898
1237663783126040780,4263,301,2,152,204,3,5.452160079,-0.839053208,20.43656,18.42777,17.44142,17.0156,16.65746,0.06991432,0.00837059,0.006007641,0.005905932,0.01102273
1237657189833834982,2728,301,1,449,486,3,5.423301512,-0.848075169,21.31805,19.75236,18.86758,18.46802,18.21658,0.1855721,0.02409161,0.01618608,0.01635589,0.04430705
